id,L_m,EI_Nm2,w_Npm,R_m,N_segments
C01,0.1,0.05,0.4,0.12,12
C02,0.15,0.05,0.4,0.12,12
C03,0.2,0.05,0.4,0.12,12
C04,0.25,0.05,0.4,0.12,12
C05,0.3,0.05,0.4,0.12,12
C06,0.35,0.05,0.4,0.12,12
C07,0.4,0.05,0.4,0.12,12
C08,0.45,0.05,0.4,0.12,12
C09,0.3,0.005,0.4,0.12,12
C10,0.3,0.01,0.4,0.12,12
C11,0.3,0.02,0.4,0.12,12
C12,0.3,0.05,0.4,0.12,12
C13,0.3,0.1,0.4,0.12,12
C14,0.3,0.2,0.4,0.12,12
C15,0.3,0.05,0.1,0.12,12
C16,0.3,0.05,0.2,0.12,12
C17,0.3,0.05,0.4,0.12,12
C18,0.3,0.05,0.6,0.12,12
C19,0.3,0.05,0.8,0.12,12
C20,0.3,0.05,1.0,0.12,12
C21,0.3,0.05,0.4,0.08,12
C22,0.3,0.05,0.4,0.1,12
C23,0.3,0.05,0.4,0.12,12
C24,0.3,0.05,0.4,0.15,12
C25,0.3,0.05,0.4,0.18,12
