x,z
-0.099999,0
-0.0882368,0.00423084
-0.0790639,-0.00426083
-0.0764352,-0.0164813
-0.06575,-0.0099947
-0.0550102,-0.0163905
-0.0524412,-0.0286237
-0.0402694,-0.025778
-0.0295613,-0.0322267
-0.0202528,-0.0405695
-0.00810099,-0.0434994
-0.00114072,-0.0538823
0.0113525,-0.0534704
0.0234753,-0.0565179
0.0233729,-0.0690175
0.0347956,-0.0639409
0.0471098,-0.0617935
0.0447964,-0.0740775
0.0572532,-0.0730389
0.0672081,-0.0654792
0.0653505,-0.0778404
0.0750571,-0.0857164
0.0818744,-0.075239
0.0917435,-0.0829105
0.0848865,-0.0933619
